lexemeCurrentNode	lineno	token	valueIfNumber	parentNodeSymbol	isLeafNode(yes/no)	NodeSymbol
c4bd56			    15    	3		 -------------   	     48			     yes   		     ----------
-----------------	------	-----	-------------	         48        	      no       	        49     
eps			        -1    	54		 -------------   	     49			     yes   		     ----------
]			    15    	18		 -------------   	     26			     yes   		     ----------
<---			    15    	0		 -------------   	     26			     yes   		     ----------
call			    15    	39		 -------------   	     25			     yes   		     ----------
_sumN			    15    	6		 -------------   	     25			     yes   		     ----------
with			    15    	8		 -------------   	     25			     yes   		     ----------
parameters			    15    	9		 -------------   	     25			     yes   		     ----------
-----------------	------	-----	-------------	         25        	      no       	        27     
[			    15    	17		 -------------   	     27			     yes   		     ----------
-----------------	------	-----	-------------	         27        	      no       	        48     
b3,			    15    	3		 -------------   	     48			     yes   		     ----------
-----------------	------	-----	-------------	         48        	      no       	        49     
,			    15    	46		 -------------   	     49			     yes   		     ----------
-----------------	------	-----	-------------	         49        	      no       	        48     
b4			    15    	3		 -------------   	     48			     yes   		     ----------
-----------------	------	-----	-------------	         48        	      no       	        49     
eps			        -1    	54		 -------------   	     49			     yes   		     ----------
]			    15    	18		 -------------   	     27			     yes   		     ----------
;			    15    	23		 -------------   	     25			     yes   		     ----------
-----------------	------	-----	-------------	         20        	      no       	        20     
-----------------	------	-----	-------------	         20        	      no       	        21     
-----------------	------	-----	-------------	         21        	      no       	        25     
-----------------	------	-----	-------------	         25        	      no       	        26     
[			    16    	17		 -------------   	     26			     yes   		     ----------
-----------------	------	-----	-------------	         26        	      no       	        48     
c4bd56			    16    	3		 -------------   	     48			     yes   		     ----------
-----------------	------	-----	-------------	         48        	      no       	        49     
eps			        -1    	54		 -------------   	     49			     yes   		     ----------
]			    16    	18		 -------------   	     26			     yes   		     ----------
<---			    16    	0		 -------------   	     26			     yes   		     ----------
call			    16    	39		 -------------   	     25			     yes   		     ----------
_diffN			    16    	6		 -------------   	     25			     yes   		     ----------
with			    16    	8		 -------------   	     25			     yes   		     ----------
parameters			    16    	9		 -------------   	     25			     yes   		     ----------
-----------------	------	-----	-------------	         25        	      no       	        27     
[			    16    	17		 -------------   	     27			     yes   		     ----------
-----------------	------	-----	-------------	         27        	      no       	        48     
b3			    16    	3		 -------------   	     48			     yes   		     ----------
-----------------	------	-----	-------------	         48        	      no       	        49     
eps			        -1    	54		 -------------   	     49			     yes   		     ----------
]			    16    	18		 -------------   	     27			     yes   		     ----------
;			    16    	23		 -------------   	     25			     yes   		     ----------
-----------------	------	-----	-------------	         20        	      no       	        20     
-----------------	------	-----	-------------	         20        	      no       	        21     
-----------------	------	-----	-------------	         21        	      no       	        31     
write			    17    	33		 -------------   	     31			     yes   		     ----------
(			    17    	27		 -------------   	     31			     yes   		     ----------
-----------------	------	-----	-------------	         31        	      no       	        32     
-----------------	------	-----	-------------	         32        	      no       	        43     
c4bd56			    17    	3		 -------------   	     43			     yes   		     ----------
)			    17    	28		 -------------   	     31			     yes   		     ----------
;			    17    	23		 -------------   	     31			     yes   		     ----------
-----------------	------	-----	-------------	         20        	      no       	        20     
eps			        -1    	54		 -------------   	     20			     yes   		     ----------
-----------------	------	-----	-------------	         11        	      no       	        46     
return			    18    	34		 -------------   	     46			     yes   		     ----------
-----------------	------	-----	-------------	         46        	      no       	        47     
eps			        -1    	54		 -------------   	     47			     yes   		     ----------
;			    18    	23		 -------------   	     46			     yes   		     ----------
end			    20    	10		 -------------   	     1			     yes   		     ----------
